subject,body,spam
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-542-9206 for assistance.",1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-749-1414 for assistance.",1
💳 Your Credit Card Has Been Charged $4527!,"Dear User, We have processed a transaction of $292 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
💼 Work from Home & Earn 9369 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 5503 per week! No experience required. Just provide your full name, phone number, and a small $82 registration fee. Limited slots available! Apply now.",1
🎁 You’ve Won a Amazon Gift Card!,"Hello, You have been randomly selected to receive a Walmart Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 58 hours!",1
🎉 You Have Won 681998! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 698044 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 59 hours.",1
💳 Your Credit Card Has Been Charged $3301!,"Dear User, We have processed a transaction of $363 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Netflix account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 59 hours, your account will be permanently disabled.",1
💼 Work from Home & Earn 5388 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 5600 per week! No experience required. Just provide your full name, phone number, and a small $78 registration fee. Limited slots available! Apply now.",1
💰 Invest 1452 and Get 7910 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 2475 will turn into 4319 in just one week! Click here to invest now.,1
💼 Work from Home & Earn 2690 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 3758 per week! No experience required. Just provide your full name, phone number, and a small $31 registration fee. Limited slots available! Apply now.",1
🎉 You Have Won 813990! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 589953 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 28 hours.",1
💰 Invest 1248 and Get 7799 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 4483 will turn into 3166 in just one week! Click here to invest now.,1
🎁 You’ve Won a Walmart Gift Card!,"Hello, You have been randomly selected to receive a Walmart Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 60 hours!",1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Netflix account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 42 hours, your account will be permanently disabled.",1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Amazon account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 7 hours, your account will be permanently disabled.",1
🎁 You’ve Won a Target Gift Card!,"Hello, You have been randomly selected to receive a Apple Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 27 hours!",1
📢 Special Promo: Get 80% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 50% discount. Click the link below to grab your deal before stocks run out!,1
🎁 You’ve Won a Walmart Gift Card!,"Hello, You have been randomly selected to receive a Target Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 37 hours!",1
💼 Work from Home & Earn 6589 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 3927 per week! No experience required. Just provide your full name, phone number, and a small $31 registration fee. Limited slots available! Apply now.",1
💳 Your Credit Card Has Been Charged $1089!,"Dear User, We have processed a transaction of $1185 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
🎉 You Have Won 498922! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 110151 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 70 hours.",1
🚀 Make $18512 Per Month With This Secret!,Discover the secret strategy to making $5665 per month online. No skills required! Click here to learn more and start earning today!,1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Netflix account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 46 hours, your account will be permanently disabled.",1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Netflix account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 19 hours, your account will be permanently disabled.",1
💰 Invest 3276 and Get 9228 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 3345 will turn into 8444 in just one week! Click here to invest now.,1
🚀 Make $7516 Per Month With This Secret!,Discover the secret strategy to making $19618 per month online. No skills required! Click here to learn more and start earning today!,1
💼 Work from Home & Earn 8494 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 1126 per week! No experience required. Just provide your full name, phone number, and a small $86 registration fee. Limited slots available! Apply now.",1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-392-5952 for assistance.",1
🚀 Make $8298 Per Month With This Secret!,Discover the secret strategy to making $5556 per month online. No skills required! Click here to learn more and start earning today!,1
📢 Special Promo: Get 87% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 51% discount. Click the link below to grab your deal before stocks run out!,1
📢 Special Promo: Get 62% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 64% discount. Click the link below to grab your deal before stocks run out!,1
🎁 You’ve Won a Target Gift Card!,"Hello, You have been randomly selected to receive a Walmart Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 41 hours!",1
📢 Special Promo: Get 83% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 54% discount. Click the link below to grab your deal before stocks run out!,1
🔥 Hot Stock Alert! 858% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 185% increase in just 5 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🔥 Hot Stock Alert! 595% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 956% increase in just 10 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🎁 You’ve Won a Apple Gift Card!,"Hello, You have been randomly selected to receive a Amazon Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 31 hours!",1
💳 Your Credit Card Has Been Charged $3442!,"Dear User, We have processed a transaction of $4065 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
🔥 Hot Stock Alert! 654% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 289% increase in just 11 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🚀 Make $6245 Per Month With This Secret!,Discover the secret strategy to making $8102 per month online. No skills required! Click here to learn more and start earning today!,1
💳 Your Credit Card Has Been Charged $3337!,"Dear User, We have processed a transaction of $2279 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
🚀 Make $15994 Per Month With This Secret!,Discover the secret strategy to making $17245 per month online. No skills required! Click here to learn more and start earning today!,1
🎉 You Have Won 866695! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 628631 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 51 hours.",1
🔥 Hot Stock Alert! 805% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 999% increase in just 12 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
💰 Invest 2859 and Get 3014 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 1136 will turn into 8031 in just one week! Click here to invest now.,1
🔥 Hot Stock Alert! 476% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 373% increase in just 8 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🎁 You’ve Won a Walmart Gift Card!,"Hello, You have been randomly selected to receive a Walmart Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 10 hours!",1
📢 Special Promo: Get 72% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 90% discount. Click the link below to grab your deal before stocks run out!,1
🔥 Hot Stock Alert! 488% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 332% increase in just 3 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🎉 You Have Won 728839! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 871233 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 46 hours.",1
🚀 Make $17447 Per Month With This Secret!,Discover the secret strategy to making $15852 per month online. No skills required! Click here to learn more and start earning today!,1
🔥 Hot Stock Alert! 222% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 555% increase in just 12 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
💰 Invest 3714 and Get 7922 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 432 will turn into 1410 in just one week! Click here to invest now.,1
🚀 Make $10238 Per Month With This Secret!,Discover the secret strategy to making $12708 per month online. No skills required! Click here to learn more and start earning today!,1
🎁 You’ve Won a Amazon Gift Card!,"Hello, You have been randomly selected to receive a Walmart Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 22 hours!",1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Netflix account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 40 hours, your account will be permanently disabled.",1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-478-5490 for assistance.",1
📢 Special Promo: Get 75% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 74% discount. Click the link below to grab your deal before stocks run out!,1
🔥 Hot Stock Alert! 599% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 930% increase in just 8 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
📢 Special Promo: Get 52% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 68% discount. Click the link below to grab your deal before stocks run out!,1
🎉 You Have Won 80279! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 998634 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 19 hours.",1
🚀 Make $14147 Per Month With This Secret!,Discover the secret strategy to making $9881 per month online. No skills required! Click here to learn more and start earning today!,1
🔥 Hot Stock Alert! 693% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 435% increase in just 8 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
📢 Special Promo: Get 56% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 56% discount. Click the link below to grab your deal before stocks run out!,1
🔥 Hot Stock Alert! 279% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 501% increase in just 10 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🔥 Hot Stock Alert! 723% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 131% increase in just 5 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🔥 Hot Stock Alert! 695% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 343% increase in just 10 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🎉 You Have Won 972659! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 647877 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 63 hours.",1
💼 Work from Home & Earn 3308 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 1983 per week! No experience required. Just provide your full name, phone number, and a small $72 registration fee. Limited slots available! Apply now.",1
💼 Work from Home & Earn 2750 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 5444 per week! No experience required. Just provide your full name, phone number, and a small $87 registration fee. Limited slots available! Apply now.",1
🎉 You Have Won 564204! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 110877 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 47 hours.",1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-994-6770 for assistance.",1
🎉 You Have Won 304513! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 804287 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 68 hours.",1
💼 Work from Home & Earn 3876 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 5879 per week! No experience required. Just provide your full name, phone number, and a small $91 registration fee. Limited slots available! Apply now.",1
🚀 Make $6637 Per Month With This Secret!,Discover the secret strategy to making $10363 per month online. No skills required! Click here to learn more and start earning today!,1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Amazon account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 9 hours, your account will be permanently disabled.",1
💰 Invest 4024 and Get 4932 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 4802 will turn into 2997 in just one week! Click here to invest now.,1
🚀 Make $18699 Per Month With This Secret!,Discover the secret strategy to making $12153 per month online. No skills required! Click here to learn more and start earning today!,1
🚀 Make $14158 Per Month With This Secret!,Discover the secret strategy to making $6180 per month online. No skills required! Click here to learn more and start earning today!,1
🔥 Hot Stock Alert! 336% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 307% increase in just 9 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🎁 You’ve Won a Walmart Gift Card!,"Hello, You have been randomly selected to receive a Walmart Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 70 hours!",1
🎉 You Have Won 95259! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 670211 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 47 hours.",1
🔥 Hot Stock Alert! 483% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 334% increase in just 3 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🚀 Make $17139 Per Month With This Secret!,Discover the secret strategy to making $10466 per month online. No skills required! Click here to learn more and start earning today!,1
🎁 You’ve Won a Amazon Gift Card!,"Hello, You have been randomly selected to receive a Target Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 7 hours!",1
🎉 You Have Won 485690! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 824733 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 29 hours.",1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-991-8549 for assistance.",1
💰 Invest 4459 and Get 5012 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 3321 will turn into 9420 in just one week! Click here to invest now.,1
🔥 Hot Stock Alert! 647% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 965% increase in just 5 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
💰 Invest 4465 and Get 3027 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 1089 will turn into 1400 in just one week! Click here to invest now.,1
🔥 Hot Stock Alert! 719% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 847% increase in just 12 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-112-7636 for assistance.",1
🎉 You Have Won 510446! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 87647 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 58 hours.",1
💼 Work from Home & Earn 8459 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 2300 per week! No experience required. Just provide your full name, phone number, and a small $47 registration fee. Limited slots available! Apply now.",1
🔥 Hot Stock Alert! 750% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 591% increase in just 9 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🎉 You Have Won 669325! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 926185 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 22 hours.",1
🔥 Hot Stock Alert! 456% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 424% increase in just 2 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-729-2801 for assistance.",1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-137-2173 for assistance.",1
💳 Your Credit Card Has Been Charged $324!,"Dear User, We have processed a transaction of $448 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
📢 Special Promo: Get 74% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 76% discount. Click the link below to grab your deal before stocks run out!,1
💳 Your Credit Card Has Been Charged $1705!,"Dear User, We have processed a transaction of $2727 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
💰 Invest 2695 and Get 5535 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 4819 will turn into 3955 in just one week! Click here to invest now.,1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your PayPal account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 56 hours, your account will be permanently disabled.",1
💰 Invest 801 and Get 6251 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 298 will turn into 8069 in just one week! Click here to invest now.,1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Netflix account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 17 hours, your account will be permanently disabled.",1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-686-6959 for assistance.",1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-268-1328 for assistance.",1
🔥 Hot Stock Alert! 185% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 537% increase in just 8 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
💰 Invest 2184 and Get 3897 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 2243 will turn into 1431 in just one week! Click here to invest now.,1
💼 Work from Home & Earn 4184 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 2475 per week! No experience required. Just provide your full name, phone number, and a small $89 registration fee. Limited slots available! Apply now.",1
🚀 Make $6601 Per Month With This Secret!,Discover the secret strategy to making $8456 per month online. No skills required! Click here to learn more and start earning today!,1
🎉 You Have Won 620875! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 545851 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 53 hours.",1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-867-6139 for assistance.",1
📢 Special Promo: Get 74% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 69% discount. Click the link below to grab your deal before stocks run out!,1
🎁 You’ve Won a Amazon Gift Card!,"Hello, You have been randomly selected to receive a Walmart Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 15 hours!",1
💰 Invest 1379 and Get 7998 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 4734 will turn into 3954 in just one week! Click here to invest now.,1
💰 Invest 149 and Get 4213 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 925 will turn into 4230 in just one week! Click here to invest now.,1
📢 Special Promo: Get 56% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 63% discount. Click the link below to grab your deal before stocks run out!,1
💰 Invest 3594 and Get 1229 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 2570 will turn into 2305 in just one week! Click here to invest now.,1
💰 Invest 484 and Get 5571 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 872 will turn into 9514 in just one week! Click here to invest now.,1
💳 Your Credit Card Has Been Charged $1613!,"Dear User, We have processed a transaction of $2268 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-139-6675 for assistance.",1
🎁 You’ve Won a Walmart Gift Card!,"Hello, You have been randomly selected to receive a Apple Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 71 hours!",1
🔥 Hot Stock Alert! 289% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 521% increase in just 11 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Netflix account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 9 hours, your account will be permanently disabled.",1
🚀 Make $15561 Per Month With This Secret!,Discover the secret strategy to making $9942 per month online. No skills required! Click here to learn more and start earning today!,1
💰 Invest 1045 and Get 8212 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 669 will turn into 9710 in just one week! Click here to invest now.,1
🔥 Hot Stock Alert! 725% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 150% increase in just 11 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Amazon account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 56 hours, your account will be permanently disabled.",1
💼 Work from Home & Earn 3784 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 2536 per week! No experience required. Just provide your full name, phone number, and a small $42 registration fee. Limited slots available! Apply now.",1
🎉 You Have Won 434711! Claim Now!,"Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our 487820 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 35 hours.",1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Amazon account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 47 hours, your account will be permanently disabled.",1
💳 Your Credit Card Has Been Charged $992!,"Dear User, We have processed a transaction of $52 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your PayPal account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 46 hours, your account will be permanently disabled.",1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your PayPal account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 51 hours, your account will be permanently disabled.",1
💳 Your Credit Card Has Been Charged $4982!,"Dear User, We have processed a transaction of $2492 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
🎁 You’ve Won a Target Gift Card!,"Hello, You have been randomly selected to receive a Apple Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 66 hours!",1
